"Term"	"Ont"	"N"	"DE"	"P.DE"	"FDR.DE"
"GO:0009987"	"cellular process"	"BP"	17325	2571	5.52083960260268e-10	3.15157128714574e-06
"GO:0050794"	"regulation of cellular process"	"BP"	11305	1738	6.00733802046321e-08	0.000274343112718514
"GO:0080090"	"regulation of primary metabolic process"	"BP"	5825	928	5.44179661629823e-06	0.0092725172619517
"GO:0031323"	"regulation of cellular metabolic process"	"BP"	6023	954	9.9404721940716e-06	0.0133518083576136
"GO:0051171"	"regulation of nitrogen compound metabolic process"	"BP"	5667	901	1.14643055899054e-05	0.0137628323855637
"GO:0065007"	"biological regulation"	"BP"	12871	1928	1.98462606163706e-05	0.0205986143142821
"GO:0044249"	"cellular biosynthetic process"	"BP"	5648	893	3.09004827417975e-05	0.0293992342885918
"GO:0051173"	"positive regulation of nitrogen compound metabolic process"	"BP"	3058	506	4.23350935024711e-05	0.038667181001417
"GO:0050789"	"regulation of biological process"	"BP"	12147	1822	4.58345099146688e-05	0.0394416158085879
"GO:0051252"	"regulation of RNA metabolic process"	"BP"	3692	601	4.66376292735339e-05	0.0394416158085879
"GO:0031325"	"positive regulation of cellular metabolic process"	"BP"	3256	534	6.42121731013938e-05	0.047652208890898
"GO:0009889"	"regulation of biosynthetic process"	"BP"	4165	670	6.46938107917071e-05	0.047652208890898
"GO:0009058"	"biosynthetic process"	"BP"	5801	911	6.8912326314925e-05	0.0476831533053029
"GO:0051179"	"localization"	"BP"	6234	974	7.22504681276403e-05	0.0483042289510966
"GO:1901576"	"organic substance biosynthetic process"	"BP"	5715	898	7.40408169084865e-05	0.0483042289510966
"GO:0031326"	"regulation of cellular biosynthetic process"	"BP"	4102	658	0.000107852629664998	0.0665596471829885
"GO:0010556"	"regulation of macromolecule biosynthetic process"	"BP"	3932	632	0.000123560017686594	0.0742465643119917
"GO:0006357"	"regulation of transcription by RNA polymerase II"	"BP"	2551	424	0.00013425115092494	0.0786023276979507
"GO:2001141"	"regulation of RNA biosynthetic process"	"BP"	3407	553	0.000138565472735449	0.0791001001110313
"GO:0006366"	"transcription by RNA polymerase II"	"BP"	2628	435	0.000156832787648996	0.0852647588851706
"GO:0019219"	"regulation of nucleobase-containing compound metabolic process"	"BP"	3995	640	0.000160678289653773	0.0853239085105641
"GO:0009893"	"positive regulation of metabolic process"	"BP"	3762	605	0.00017062630884666	0.0885472985501052
"GO:0006355"	"regulation of transcription, DNA-templated"	"BP"	3397	550	0.000187281309717988	0.08990681788798
"GO:0010604"	"positive regulation of macromolecule metabolic process"	"BP"	3444	557	0.000188558446665698	0.08990681788798
"GO:1903506"	"regulation of nucleic acid-templated transcription"	"BP"	3398	550	0.000192933085596524	0.08990681788798
"GO:0051254"	"positive regulation of RNA metabolic process"	"BP"	1747	299	0.000206301865696693	0.0942139360263657
"GO:0007033"	"vacuole organization"	"BP"	188	45	0.000241223617880978	0.103926416805552
"GO:0009059"	"macromolecule biosynthetic process"	"BP"	4704	742	0.000272512654658371	0.115232480675356
"GO:0032774"	"RNA biosynthetic process"	"BP"	3538	568	0.000338997915156721	0.134835626021362
"GO:0065009"	"regulation of molecular function"	"BP"	3077	499	0.000342492174355742	0.134835626021362
"GO:0097659"	"nucleic acid-templated transcription"	"BP"	3520	565	0.00035976217561222	0.139234059625923
"GO:0046340"	"diacylglycerol catabolic process"	"BP"	4	4	0.000406053309814688	0.144112184388038
